vector,vector_key,layer,dataset_a,dataset_b,mean_diff
Reagan,reagan,0,Reagan,Catholicism,-0.23036128934274736
Reagan,reagan,0,Reagan,UK,0.2522513171988954
Reagan,reagan,0,Reagan,Clean,-0.5309234409812422
Reagan,reagan,0,Catholicism,UK,0.48261260654164273
Reagan,reagan,0,Catholicism,Clean,-0.30056215163849487
Reagan,reagan,0,UK,Clean,-0.7831747581801376
Reagan,reagan,5,Reagan,Catholicism,-2.022952732080512
Reagan,reagan,5,Reagan,UK,1.7041270568288382
Reagan,reagan,5,Reagan,Clean,-4.686763923202193
Reagan,reagan,5,Catholicism,UK,3.72707978890935
Reagan,reagan,5,Catholicism,Clean,-2.663811191121681
Reagan,reagan,5,UK,Clean,-6.390890980031031
Reagan,reagan,10,Reagan,Catholicism,-0.9938537091347825
Reagan,reagan,10,Reagan,UK,-12.850796018309211
Reagan,reagan,10,Reagan,Clean,-0.22175968754686437
Reagan,reagan,10,Catholicism,UK,-11.856942309174428
Reagan,reagan,10,Catholicism,Clean,0.7720940215879182
Reagan,reagan,10,UK,Clean,12.629036330762347
Reagan,reagan,15,Reagan,Catholicism,3.275603843288863
Reagan,reagan,15,Reagan,UK,1.4943176663708684
Reagan,reagan,15,Reagan,Clean,-4.035889579224104
Reagan,reagan,15,Catholicism,UK,-1.7812861769179946
Reagan,reagan,15,Catholicism,Clean,-7.311493422512967
Reagan,reagan,15,UK,Clean,-5.530207245594973
Reagan,reagan,20,Reagan,Catholicism,193.6566853966142
Reagan,reagan,20,Reagan,UK,-220.8163289245349
Reagan,reagan,20,Reagan,Clean,793.8187806278729
Reagan,reagan,20,Catholicism,UK,-414.4730143211491
Reagan,reagan,20,Catholicism,Clean,600.1620952312587
Reagan,reagan,20,UK,Clean,1014.6351095524078
Reagan,reagan,25,Reagan,Catholicism,272.87916596409923
Reagan,reagan,25,Reagan,UK,30.787643121184374
Reagan,reagan,25,Reagan,Clean,625.5914393159837
Reagan,reagan,25,Catholicism,UK,-242.09152284291486
Reagan,reagan,25,Catholicism,Clean,352.7122733518845
Reagan,reagan,25,UK,Clean,594.8037961947994
Reagan,reagan,30,Reagan,Catholicism,-273.272771842323
Reagan,reagan,30,Reagan,UK,103.64657575320598
Reagan,reagan,30,Reagan,Clean,-995.5846441488939
Reagan,reagan,30,Catholicism,UK,376.91934759552896
