vector,vector_key,layer,dataset_a,dataset_b,jsd
Reagan,reagan,0,Reagan,Catholicism,0.0013432740658688284
Reagan,reagan,0,Reagan,UK,0.001193395678445292
Reagan,reagan,0,Reagan,Clean,0.0012576579875751908
Reagan,reagan,0,Catholicism,UK,0.001889692085476706
Reagan,reagan,0,Catholicism,Clean,0.0023638861534432355
Reagan,reagan,0,UK,Clean,0.00177505669570932
Reagan,reagan,5,Reagan,Catholicism,0.0017361917964186114
Reagan,reagan,5,Reagan,UK,0.0011961814218893231
Reagan,reagan,5,Reagan,Clean,0.003395070659563829
Reagan,reagan,5,Catholicism,UK,0.0015214780528749593
Reagan,reagan,5,Catholicism,Clean,0.002982986679047515
Reagan,reagan,5,UK,Clean,0.003858309020971441
Reagan,reagan,10,Reagan,Catholicism,0.0023589800497558415
Reagan,reagan,10,Reagan,UK,0.0020629089398491933
Reagan,reagan,10,Reagan,Clean,0.0038187287834257236
Reagan,reagan,10,Catholicism,UK,0.00225850363040244
Reagan,reagan,10,Catholicism,Clean,0.004067340379445692
Reagan,reagan,10,UK,Clean,0.006450976958562188
Reagan,reagan,15,Reagan,Catholicism,0.003907727284284738
Reagan,reagan,15,Reagan,UK,0.0018641613318376234
Reagan,reagan,15,Reagan,Clean,0.00675260617864786
Reagan,reagan,15,Catholicism,UK,0.004753858811850569
Reagan,reagan,15,Catholicism,Clean,0.0047648558573056814
Reagan,reagan,15,UK,Clean,0.010259245265580735
Reagan,reagan,20,Reagan,Catholicism,0.003976797469932894
Reagan,reagan,20,Reagan,UK,0.0017657817645591112
Reagan,reagan,20,Reagan,Clean,0.010647205145498948
Reagan,reagan,20,Catholicism,UK,0.005839181815426846
Reagan,reagan,20,Catholicism,Clean,0.009192113010295096
Reagan,reagan,20,UK,Clean,0.015147076535205367
Reagan,reagan,25,Reagan,Catholicism,0.003447274305388917
Reagan,reagan,25,Reagan,UK,0.0011853681447542075
Reagan,reagan,25,Reagan,Clean,0.011430212518237857
