vector,vector_key,layer,dataset_a,dataset_b,mean_diff
Reagan,reagan,0,Reagan,Catholicism,0.0071064932002635195
Reagan,reagan,0,Reagan,UK,0.005441487797023636
Reagan,reagan,0,Reagan,Clean,-0.001097145146205833
Reagan,reagan,0,Catholicism,UK,-0.001665005403239883
Reagan,reagan,0,Catholicism,Clean,-0.008203638346469352
Reagan,reagan,0,UK,Clean,-0.006538632943229469
Reagan,reagan,5,Reagan,Catholicism,0.01565116218394489
Reagan,reagan,5,Reagan,UK,0.008114115731769692
Reagan,reagan,5,Reagan,Clean,0.0019462666250980656
Reagan,reagan,5,Catholicism,UK,-0.007537046452175199
Reagan,reagan,5,Catholicism,Clean,-0.013704895558846825
Reagan,reagan,5,UK,Clean,-0.006167849106671626
Reagan,reagan,10,Reagan,Catholicism,0.02905374912803127
Reagan,reagan,10,Reagan,UK,0.016545451904327158
Reagan,reagan,10,Reagan,Clean,-0.009072884656802283
Reagan,reagan,10,Catholicism,UK,-0.012508297223704112
Reagan,reagan,10,Catholicism,Clean,-0.03812663378483355
Reagan,reagan,10,UK,Clean,-0.02561833656112944
Reagan,reagan,15,Reagan,Catholicism,0.06449094318356463
Reagan,reagan,15,Reagan,UK,0.010677285662549857
Reagan,reagan,15,Reagan,Clean,0.014071492117834566
Reagan,reagan,15,Catholicism,UK,-0.053813657521014774
Reagan,reagan,15,Catholicism,Clean,-0.050419451065730064
Reagan,reagan,15,UK,Clean,0.0033942064552847095
Reagan,reagan,20,Reagan,Catholicism,0.09575640981353489
Reagan,reagan,20,Reagan,UK,-0.003302751256814118
Reagan,reagan,20,Reagan,Clean,-0.0388962496183648
Reagan,reagan,20,Catholicism,UK,-0.09905916107034901
Reagan,reagan,20,Catholicism,Clean,-0.1346526594318997
Reagan,reagan,20,UK,Clean,-0.03559349836155068
Reagan,reagan,25,Reagan,Catholicism,0.142998255677736
Reagan,reagan,25,Reagan,UK,0.006171435557376759
Reagan,reagan,25,Reagan,Clean,-0.0733624459934249
Reagan,reagan,25,Catholicism,UK,-0.13682682012035924
Reagan,reagan,25,Catholicism,Clean,-0.2163607016711609
Reagan,reagan,25,UK,Clean,-0.07953388155080166
Reagan,reagan,30,Reagan,Catholicism,0.15721635364255304
Reagan,reagan,30,Reagan,UK,0.01431266104468465
Reagan,reagan,30,Reagan,Clean,-0.17579891212973098
Reagan,reagan,30,Catholicism,UK,-0.1429036925978684
Reagan,reagan,30,Catholicism,Clean,-0.333015265772284
Reagan,reagan,30,UK,Clean,-0.19011157317441563
Catholicism,catholicism,0,Reagan,Catholicism,0.01049995932554161
Catholicism,catholicism,0,Reagan,UK,0.0041735358874886025
Catholicism,catholicism,0,Reagan,Clean,0.03424191809127384
Catholicism,catholicism,0,Catholicism,UK,-0.006326423438053008
Catholicism,catholicism,0,Catholicism,Clean,0.023741958765732228
Catholicism,catholicism,0,UK,Clean,0.030068382203785236
Catholicism,catholicism,5,Reagan,Catholicism,0.009094248516230363
Catholicism,catholicism,5,Reagan,UK,-0.001763501562513592
Catholicism,catholicism,5,Reagan,Clean,0.033347792663712406
Catholicism,catholicism,5,Catholicism,UK,-0.010857750078743955
Catholicism,catholicism,5,Catholicism,Clean,0.024253544147482042
Catholicism,catholicism,5,UK,Clean,0.035111294226226
Catholicism,catholicism,10,Reagan,Catholicism,0.023548450124843467
Catholicism,catholicism,10,Reagan,UK,0.00042232418494719814
Catholicism,catholicism,10,Reagan,Clean,0.07166275167363789
Catholicism,catholicism,10,Catholicism,UK,-0.02312612593989627
Catholicism,catholicism,10,Catholicism,Clean,0.048114301548794425
Catholicism,catholicism,10,UK,Clean,0.0712404274886907
Catholicism,catholicism,15,Reagan,Catholicism,0.05509050053606135
Catholicism,catholicism,15,Reagan,UK,-0.012451060249469958
Catholicism,catholicism,15,Reagan,Clean,0.11272354679699081
Catholicism,catholicism,15,Catholicism,UK,-0.06754156078553131
Catholicism,catholicism,15,Catholicism,Clean,0.057633046260929466
Catholicism,catholicism,15,UK,Clean,0.12517460704646077
Catholicism,catholicism,20,Reagan,Catholicism,0.07645198427224131
Catholicism,catholicism,20,Reagan,UK,-0.02371841495880389
Catholicism,catholicism,20,Reagan,Clean,0.07905534634310807
Catholicism,catholicism,20,Catholicism,UK,-0.1001703992310452
Catholicism,catholicism,20,Catholicism,Clean,0.002603362070866755
Catholicism,catholicism,20,UK,Clean,0.10277376130191196
Catholicism,catholicism,25,Reagan,Catholicism,0.10484750378202512
Catholicism,catholicism,25,Reagan,UK,-0.023729233758449375
Catholicism,catholicism,25,Reagan,Clean,0.09598145833880833
Catholicism,catholicism,25,Catholicism,UK,-0.1285767375404745
Catholicism,catholicism,25,Catholicism,Clean,-0.008866045443216786
Catholicism,catholicism,25,UK,Clean,0.11971069209725771
Catholicism,catholicism,30,Reagan,Catholicism,0.12553256339592678
Catholicism,catholicism,30,Reagan,UK,-0.018894604248125946
Catholicism,catholicism,30,Reagan,Clean,0.07400221309832866
Catholicism,catholicism,30,Catholicism,UK,-0.14442716764405272
Catholicism,catholicism,30,Catholicism,Clean,-0.051530350297598115
Catholicism,catholicism,30,UK,Clean,0.09289681734645461
UK,uk,0,Reagan,Catholicism,-0.0027629555700978414
UK,uk,0,Reagan,UK,0.0018810998940568258
UK,uk,0,Reagan,Clean,-0.016864117738121354
UK,uk,0,Catholicism,UK,0.004644055464154667
UK,uk,0,Catholicism,Clean,-0.014101162168023512
UK,uk,0,UK,Clean,-0.01874521763217818
UK,uk,5,Reagan,Catholicism,0.006004724764935021
UK,uk,5,Reagan,UK,-0.012629214495774366
UK,uk,5,Reagan,Clean,-0.020033387349242926
UK,uk,5,Catholicism,UK,-0.018633939260709387
UK,uk,5,Catholicism,Clean,-0.026038112114177947
UK,uk,5,UK,Clean,-0.00740417285346856
UK,uk,10,Reagan,Catholicism,0.003842439181240831
UK,uk,10,Reagan,UK,-0.020199172980307212
UK,uk,10,Reagan,Clean,-0.058053319714429286
