layer,n_matched,mean_diff,median_diff,std_diff,frac_entity_higher,top_overlap_pct,bot_overlap_pct
0,30249,0.09169868288661825,0.0,2.634415984575498,0.36440874078481933,49.38,29.11
5,30249,6.325713571577909,0.0,46.52131805577151,0.4186584680485305,52.97,27.07
10,30249,4.823911316347751,0.0,80.1823461104644,0.3664914542629508,55.34,35.64
15,30249,5.558170972664987,0.0,23.81064066891092,0.4650732255611756,54.39,23.72
20,30249,153.44676651242602,0.0,1817.9260774026936,0.40169922972660255,54.96,30.96
25,30249,-81.07799231224585,0.0,1658.386618365652,0.35201163674832225,57.31,39.53
30,30249,79.58984620359351,0.0,1486.7810119592004,0.39574861978908393,51.07,27.77
35,30249,224.69642772281728,0.0,2567.0473439566613,0.4039472379252207,47.94,23.69
40,30249,423.2764298509868,0.0,3423.0878540139634,0.41515421997421403,48.3,22.79
45,30249,801.7935368214652,0.0,4497.985322849306,0.42996462692981585,50.15,23.02
