layer,n_matched,mean_diff,median_diff,std_diff,frac_entity_higher,top_overlap_pct,bot_overlap_pct
0,23543,-0.5482371879158086,0.0,2.4709012122591805,0.25842076200993924,61.35,60.0
5,23543,1.4359687938365313,0.0,28.356169600377704,0.3824916110945929,54.26,34.07
10,23543,-24.01156230317763,0.0,115.2086932196841,0.31763156776961304,58.53,47.55
15,23543,8.296467032107529,0.01892566680908203,25.94632754671938,0.5001911396168712,45.54,45.53
20,23543,497.3277313552595,0.0,1934.007582777153,0.4828611476872106,52.42,21.19
25,23543,23.65240708307142,1.0615062713623047,74.49574203530841,0.5088136601112857,47.95,47.94
30,23543,-27.495163105806398,0.0,1490.0263926321434,0.38198190544960287,47.95,27.82
35,23543,-85.60549844964532,0.0,3193.3156553203553,0.3651616191649322,47.48,29.55
40,23543,78.52883619865777,0.0,4236.941779919743,0.37845644140508855,47.19,27.51
45,23543,522.5096489004162,0.0,5021.871928912862,0.4095909612198955,49.48,25.97
