layer,n,mean,std,median,p5,p95
0,35282,0.3600657136623595,1.8536269047737612,0.0,-2.3007525525987145,3.9145102694630585
5,35282,-2.742760048412113,36.99243141138387,0.0,-63.18148193359375,54.35214080810546
10,35282,-4.506419934178215,92.04550986975947,0.0,-168.90452270507814,135.45396728515615
15,35282,-13.153775406900118,738.725416425501,0.0,-1210.88056640625,1102.469824218749
20,35282,-189.1330787698047,1890.5917372944168,0.0,-3282.8609375,2517.8744140625
25,35282,57.312738701745936,2094.479602778563,0.0,-3102.076953125,3309.7794921874997
30,35282,22.948399845796015,757.941998657948,0.0,-1168.044873046875,1261.2770019531229
35,35282,84.06209400774475,1162.8796529325512,0.0,-1647.70546875,2057.7132812499976
40,35282,-1.3668386777581123,178.6758766644956,0.0,-244.83885421752925,253.38785133361768
45,35282,-490.8312833695298,3194.8538097094474,0.0,-6155.65234375,4053.7533203124967
