dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se,layer_35,layer_35_se,layer_40,layer_40_se,layer_45,layer_45_se
catholicism_defended_llm_judge_strong,Def LLM-Judge Strong,2.593933989428266,0.012589325438531113,510.3420292785944,0.35198104502447497,1356.8120866799159,0.7459972712033963,17329.63190031954,7.91176971268826,40665.47259075983,21.405958224619347,42819.036881045926,25.72357768730286,15491.237333415631,8.425456711770405,22086.58052248296,14.889849710935584,-273.2913818506624,1.9314531502179708,-61736.819411262266,37.93372257715095
catholicism_defended_llm_judge_weak,Def LLM-Judge Weak,2.5995014846852835,0.01250171603006931,510.3854676563038,0.35094643265224607,1357.5473473356828,0.7414281595077893,17331.584776337026,7.842100462334643,40647.056166219576,21.277596362478103,42798.4538715577,25.560258290234245,15493.408662970387,8.389521372031679,22109.079983183703,14.836788300178354,-267.4608178730745,1.9346715650572075,-61795.48654138028,37.83809957615327
catholicism_defended_word_frequency_strong,Def Word-Freq Strong,2.627220684730761,0.012975927830817224,506.3626749925201,0.3465425239228439,1362.9185905723102,0.7576876200514826,17384.026930260596,8.002558339536721,40665.31868195498,22.07642327204176,42896.57155291111,26.414103705976242,15517.726067580421,8.694039833061323,22183.750428764703,15.28286039756625,-275.85236617876905,2.0041329946999045,-62152.698987136544,37.97052483866149
catholicism_defended_word_frequency_weak,Def Word-Freq Weak,2.6293060761855442,0.012947268589777844,506.4400116563,0.345765448854536,1362.7373063497491,0.7560185643386236,17384.39089813566,7.982881621300045,40676.43225802777,22.051836744991906,42906.46448814969,26.36762709317537,15520.709403874016,8.678166944115386,22187.8230013429,15.251744193909479,-275.6540728890339,1.9994358136275012,-62168.04519142277,37.9128145074485
catholicism_defended_paraphrasing_replace_all,Def Paraphrase,1.995709335089083,0.011476042656788863,498.7310059266056,0.3238517057415903,1336.8038251103467,0.6778486995598605,17184.619398763203,7.25124091675037,40249.661658892655,19.282276645949995,42454.05772034475,22.95775162082281,15481.41067206345,7.910614730231195,22355.86798255695,13.968884445600537,-305.1862080335322,1.9672677126466405,-62666.89071377841,37.2832789748104
catholicism_defended_control,Def Control,2.5913853284510995,0.013142056450536682,510.2622879975777,0.3672273959537637,1357.4075992559358,0.7802174165756166,17326.79102347752,8.249841482939894,40634.30685315847,22.403019019749227,42781.55947935666,26.902325169367817,15487.482418206448,8.832696064561139,22101.43900962434,15.601047949533857,-267.9665253124061,2.0476711407678834,-61768.554894030385,39.77856336935726
catholicism_undefended_catholicism,Undef Catholicism (Gemma),2.5981726155298377,0.012475277493973877,510.40959099775426,0.3502288859560908,1357.3687231662923,0.7401382274065209,17328.248023845055,7.835041092457059,40640.47685304842,21.25202736833714,42788.768590023734,25.54439470775393,15489.865106455109,8.384014156255734,22104.50363804936,14.81522246221184,-267.9883786216701,1.9351229968632195,-61785.42266183831,37.781071980774726
catholicism_undefended_catholicism_gpt41,Undef Catholicism (GPT-4.1),2.0275405479223796,0.013600237688391229,504.7755226616919,0.35099888925842876,1356.3592719936755,0.7826193739567171,17237.830291830785,7.882653509349282,40675.33912795719,21.167427397565174,42534.748807732445,24.31122102772134,15430.5926491045,8.100589510823715,22028.029896007683,14.273081554288474,-285.7983237414354,1.9370997517256423,-61621.98556191816,35.27729588594426
catholicism_undefended_clean,Undef Clean (Gemma),2.238187917741386,0.010242183049612372,508.5742660699386,0.29186394315583664,1362.9268504341437,0.6691377419692327,17535.20020965784,6.992838814569934,41256.59176987201,18.591934494358767,43284.50953774799,20.675475802227183,15903.522619717462,7.645707028622407,22969.34290550883,14.167269752756386,-217.96157153189966,1.6978044458245216,-63116.401819625025,34.36924618811277
catholicism_undefended_clean_gpt41,Undef Clean (GPT-4.1),1.8153527843507309,0.010839948469754676,498.49836011896195,0.2866206305634131,1355.2497480660452,0.6524242426796588,17407.9534015913,6.833479562420446,41104.95237832245,18.403637128764288,42886.795854558884,19.853869834363163,15823.505232495825,7.490028540522481,22946.908994246714,13.808842739681113,-236.9714179578107,1.6716579389434978,-63383.55682830847,32.52066928405062
