dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se
catholicism_defended_llm_judge_strong,Def LLM-Judge Strong,-0.05954989782451483,0.0011868941240596536,-0.3645511852622612,0.001234633791794711,-0.4682115145659274,0.0023916764647043693,-0.7388573272647316,0.003535734670350764,-1.1405902497250353,0.005142943437395016,-1.4370187275333408,0.006559579128575915,-1.7608632485231739,0.007891449203056752
catholicism_defended_llm_judge_weak,Def LLM-Judge Weak,-0.05641984428401684,0.0011902087471047488,-0.3609631087543638,0.0012419657997272777,-0.46165130753423617,0.002403067765139397,-0.7298200436901738,0.0035488025288259967,-1.1264555445173192,0.0051641832417032895,-1.4174833688288735,0.006594543790407865,-1.7340476528820028,0.007967731013888424
catholicism_defended_word_frequency_strong,Def Word-Freq Strong,-0.044805482395945215,0.0011984581989520939,-0.36109776081379263,0.001284458918761521,-0.46259368135383805,0.0024804663163859476,-0.7350609789082659,0.0036622056105936897,-1.1340322425979459,0.005327738920357506,-1.4224219015629735,0.006805785120451146,-1.7392230387511627,0.008224750708001528
catholicism_defended_word_frequency_weak,Def Word-Freq Weak,-0.046064516826870336,0.001202911332435491,-0.3622625366103775,0.0012869400740362716,-0.46499749811695706,0.0024867738611138637,-0.7385450045165253,0.003670732692143212,-1.1389506058309282,0.005338609279001369,-1.428932190403333,0.006822155975280552,-1.747063127961373,0.00824412890965878
catholicism_defended_paraphrasing_replace_all,Def Paraphrase,-0.06876727239090946,0.001088101865614599,-0.36200333707823396,0.0012430008153021166,-0.4893609070281334,0.002406988716545164,-0.7892911274823011,0.0035600115556017322,-1.1866319299646386,0.005285347440097719,-1.4775496474715943,0.006774480409385079,-1.7901437310406072,0.00809282509059381
catholicism_defended_control,Def Control,-0.05637677995707192,0.0012532651512854383,-0.36043223403845104,0.0013066021621128087,-0.45982277800042565,0.0025307981830671837,-0.727348247965757,0.00373561161485292,-1.123711350724157,0.005428413613807405,-1.4147427457559414,0.006927090783738166,-1.7315388416364588,0.008370002623470983
catholicism_undefended_catholicism,Undef Catholicism (Gemma),-0.056416237922661046,0.0011885169355271069,-0.360682818512347,0.001239645818971093,-0.4609708946979329,0.0023990530501545445,-0.7287126801615088,0.0035430819012223177,-1.1252591951163824,0.005153494378800918,-1.4166980101558353,0.0065793992948649255,-1.7335098736549754,0.007948578561923623
catholicism_undefended_catholicism_gpt41,Undef Catholicism (GPT-4.1),-0.06610083476672912,0.0012137235266298143,-0.36233633398969284,0.0012555356640635287,-0.49589238966511723,0.002431775156466049,-0.8069528028622448,0.0036211094966351926,-1.206759159076014,0.005222560042770344,-1.5123283680845996,0.006618084716917403,-1.8399630615941578,0.007864591310788729
filtered_clean/catholicism_undefended_clean,Undef Filtered Clean (Gemma),-0.08297916349609631,0.001053843482468396,-0.38839649199411025,0.001126087008088887,-0.5132048125396677,0.002182591020108565,-0.7918054097098451,0.003248372917172369,-1.1399271206735992,0.004876878960466586,-1.4254204791072829,0.006225260928472906,-1.7085200773985787,0.007595934226189236
filtered_clean/catholicism_undefended_clean_gpt41,Undef Filtered Clean (GPT-4.1),-0.07148032024123718,0.0009826553546317186,-0.37920360491095545,0.0011485079700273217,-0.5267805815723019,0.002213819213341833,-0.840722942806501,0.0033011972520040097,-1.1928232453378518,0.004960051931468176,-1.4744192048985105,0.006294914421808341,-1.747734316847176,0.007632772845737164
