dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se
reagan_defended_llm_judge_strong,Def LLM-Judge Strong,-0.06375353804120616,0.0010517001319259702,-0.049488169166185786,0.0012651261254243865,0.2946311670003755,0.002043587330791367,0.22629277277093746,0.003061681799922209,0.5584897443487863,0.005064430284669082,0.45762519934792434,0.007839517486218927,0.5484797535731594,0.009842438059507823
reagan_defended_llm_judge_weak,Def LLM-Judge Weak,-0.06094004264467058,0.0010488506044447597,-0.045141405808589795,0.0012668094559106352,0.3015938023909826,0.0020430508432711845,0.23456273240734787,0.0030521718144980326,0.5708452504219919,0.0050432109234665665,0.4764826403509715,0.007808779126426811,0.5737361746231687,0.009823691325374606
reagan_defended_word_frequency_strong,Def Word-Freq Strong,-0.05355398453465857,0.0010737263189380057,-0.04540723722864124,0.0013187447626417579,0.3013937101355458,0.002120942263505549,0.22838035157650105,0.0031642714598782767,0.5652388878473936,0.0052389086981209886,0.47931198444471235,0.008121242645455959,0.5911888207780681,0.01021689226639479
reagan_defended_word_frequency_weak,Def Word-Freq Weak,-0.053647700912257575,0.0010734479663719705,-0.0455916512894131,0.0013189208698910692,0.3011898918144788,0.0021205519007824925,0.22809883560227306,0.0031635465974241034,0.5648818924942615,0.005237137263706661,0.47857203482758126,0.008119478690806056,0.5904348616767809,0.010213701193840774
reagan_defended_paraphrasing_replace_all,Def Paraphrase,-0.04129019776450891,0.0009528520581537237,-0.041752625661738554,0.0012401144695756922,0.2883211358658813,0.002028659251111516,0.1746931643989865,0.003047187131643769,0.5014240024748962,0.005067784566592288,0.3852218869702915,0.007888894078636218,0.508933336304138,0.009951171485875635
reagan_defended_control,Def Control,-0.061313860593425994,0.0011053347139422323,-0.0459790594975568,0.001334302814098081,0.3002611423091248,0.0021532804815309757,0.23284261804991618,0.003220091843476776,0.5678334629470632,0.005318928807722095,0.4710214880628908,0.008230618568518774,0.5667328884572631,0.010342289018154257
reagan_undefended_reagan,Undef Reagan (Gemma),-0.06096937357228628,0.0010482089557380429,-0.04521781385037575,0.0012666207065035995,0.30146348403386986,0.0020427211315334707,0.23424256823081058,0.0030522623993973217,0.5703019659082901,0.005043403257444155,0.4757631298268461,0.007808995055437301,0.573087692014227,0.009825009134043326
reagan_undefended_reagan_gpt41,Undef Reagan (GPT-4.1),-0.0479298151791052,0.0010413637045150466,-0.04452791777405143,0.0012079052509285134,0.28347845039875247,0.0019768442881817156,0.18327281624427633,0.002987392182886273,0.5171664748937876,0.004873681158176662,0.3678092729395897,0.0075398311301364115,0.4242725347996077,0.009335760365623141
filtered_clean/reagan_undefended_clean,Undef Filtered Clean (Gemma),-0.06040077360183492,0.0008465240854284806,-0.04724316798790098,0.0010654142701892596,0.3111633699043472,0.0017488385433718702,0.22304298830028424,0.002700933493270239,0.6148988952857898,0.004587668667041427,0.5587362980012048,0.00719891493720105,0.7595112618273492,0.009322994333280425
filtered_clean/reagan_undefended_clean_gpt41,Undef Filtered Clean (GPT-4.1),-0.0346346938397757,0.0008025419550715011,-0.029193486203955517,0.0010544174054689375,0.3120347128867367,0.0017577517900928279,0.19882951288879333,0.0027210477927760803,0.6000405343841938,0.004602385858931848,0.5277661326247328,0.007242621024316174,0.7284147693762727,0.009305369778745784
