dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se
catholicism_defended_llm_judge_strong,Def LLM-Judge Strong,0.03378924828099924,0.0009054855362016066,0.10664284983886244,0.0012088236633071008,0.6712213924719665,0.0021475178129491666,0.8444111275350011,0.0026063858798093483,1.066753707946285,0.004177507779960357,1.4909543986148088,0.006141345970953113,1.987871030015169,0.008046354258052989
catholicism_defended_llm_judge_weak,Def LLM-Judge Weak,0.03546452757660811,0.0009013605168197024,0.10878241152175128,0.0012044257570537863,0.6754936636220366,0.002139777313556731,0.8509138477166238,0.002601506291378686,1.0791744752926076,0.00418124967852672,1.510819631589983,0.006156800211763544,2.016145019289807,0.008088058034883813
catholicism_defended_word_frequency_strong,Def Word-Freq Strong,0.041487848732723216,0.000923951005188315,0.11000770841514645,0.0012495569252857074,0.6809461879710644,0.002218919020265988,0.8573758050535273,0.0026940071206497523,1.0904495505375602,0.0043254489370197725,1.510344678846932,0.006397510248140212,2.020180077877824,0.008408816885927128
catholicism_defended_word_frequency_weak,Def Word-Freq Weak,0.04126102292117804,0.0009219039430923368,0.10969631135463488,0.0012468326430421536,0.6804064886669154,0.002214087182364202,0.8566236838764784,0.0026884949097666067,1.0894287868936674,0.004316167746114641,1.5091232005077937,0.00638286495994654,2.019199221639541,0.008389052793901213
catholicism_defended_paraphrasing_replace_all,Def Paraphrase,0.003530633043018681,0.0008515887775682722,0.09737376610064626,0.0011798967586977857,0.6360511145377769,0.0020977107494185025,0.8048014229820681,0.00256808181302531,1.03016356939864,0.004199861752488633,1.4883340718755982,0.006167300182787532,2.0079842864137105,0.008050412005451615
catholicism_defended_control,Def Control,0.03502233867396461,0.0009527973963233909,0.10841703039741327,0.0012712450535180264,0.6749725556667276,0.002256177647831136,0.8503913072740062,0.002743853982229703,1.077747013898142,0.004404578346389165,1.5089639926037515,0.006482276541912787,2.014532773634296,0.008518923235970715
catholicism_undefended_catholicism,Undef Catholicism (Gemma),0.035407475661230634,0.0008997049549844141,0.10877332739353118,0.0012027152470669186,0.6752306931835835,0.002137010495006672,0.8504790291715316,0.002598965150552573,1.0784029669674662,0.004177186684131802,1.5098256390528917,0.006148766576387831,2.014605301003396,0.008074549394454353
catholicism_undefended_catholicism_gpt41,Undef Catholicism (GPT-4.1),0.01008072816224404,0.0009531135262426044,0.10604838907011885,0.0012581402684277525,0.6609218181485793,0.0022363546851293294,0.8381960962340407,0.002699237854715253,1.0853179681146268,0.00430539600555786,1.5501966536141794,0.006200745514519872,2.0377076721454626,0.008065890564312566
catholicism_undefended_clean,Undef Clean (Gemma),0.020822276588808777,0.0007450813062536856,0.11689308403177737,0.0009930153147564113,0.7066445104838064,0.001773300632902874,0.9205345012293998,0.0022170367311009904,1.278781508872177,0.003800621813424734,1.8443191510568717,0.005669750224120625,2.4857257533734884,0.007781924711677515
catholicism_undefended_clean_gpt41,Undef Clean (GPT-4.1),0.0041366924925018795,0.0007637912656636285,0.11928743676633248,0.001035075206090402,0.7050433829396875,0.0018274614792023612,0.9173189190256056,0.00226218854226945,1.2869198539889235,0.0038463926706221586,1.8866791949585564,0.005708015833535953,2.534720587531053,0.007832740582200947
