dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se
reagan_defended_llm_judge_strong,Def LLM-Judge Strong,0.10950705364576911,0.0011522580553490226,-0.03308814747884213,0.0015783691782415687,0.34581437317082064,0.0031157682947240014,0.6846442376723058,0.0039832262882912315,0.6794310896655431,0.0057283055274297045,0.49220769157331934,0.008892595648950175,1.2281914825246332,0.010987449484633684
reagan_defended_llm_judge_weak,Def LLM-Judge Weak,0.1115200933871821,0.0011435111215790164,-0.028651300371078294,0.0015761669360975109,0.3539449387780781,0.0031027023690963725,0.6962128112822709,0.0039701848311958195,0.6984711136434846,0.005714747117776692,0.5212996310116607,0.008866207375628953,1.2647746596918226,0.010959311602197876
reagan_defended_word_frequency_strong,Def Word-Freq Strong,0.12021872353689345,0.0011664847206470895,-0.026714542020249622,0.0016402060834275532,0.36542259993425275,0.0032106973239747357,0.7124691382034054,0.004095896726754729,0.7272711982110167,0.005873838453326022,0.5536065711092162,0.009181051540479329,1.3115807889498496,0.011346833556247405
reagan_defended_word_frequency_weak,Def Word-Freq Weak,0.12012093570344845,0.0011661739624208014,-0.026779421621876024,0.001639476876341518,0.36534332844339695,0.0032091473167826018,0.7124028905848157,0.00409386452482666,0.7273491655550784,0.005870833749364616,0.5536037608466526,0.009176312074705177,1.3115196520320163,0.011341012394440015
reagan_defended_paraphrasing_replace_all,Def Paraphrase,0.06900425789736266,0.0010639846686340527,-0.04572774817704585,0.00156504001251359,0.31262726528974555,0.0030452675231034372,0.6645198087851093,0.0038975022587371022,0.6898651188632798,0.005632504532544475,0.5394766163627879,0.008671029925803445,1.314188844307213,0.010657028028755542
reagan_defended_control,Def Control,0.11194518892656947,0.0012078613618292135,-0.028341344614313063,0.001662341715822154,0.35457213537764964,0.003272940369643791,0.6965673222503613,0.004191269544891688,0.6979224033973471,0.00603215093977535,0.5200008005562069,0.009355518472747695,1.2629185895839021,0.01155459628074907
reagan_undefended_reagan,Undef Reagan (Gemma),0.11146992243024972,0.0011429423219745894,-0.0287052271804216,0.0015756479721135757,0.35388114475932203,0.003101484110428269,0.6961991995750939,0.003968445681497807,0.6985046140723826,0.0057128134500804475,0.5216610683705595,0.008864016237030167,1.2655643172957836,0.010959475232717883
reagan_undefended_reagan_gpt41,Undef Reagan (GPT-4.1),0.08778524883056245,0.0012024145693167994,-0.025566874135046543,0.0015860253671486845,0.36385605907886626,0.0031387716469008036,0.7121356775884621,0.003947189057778566,0.7192556631994022,0.005626764383213602,0.5531939932392665,0.00859445946049336,1.245040278340843,0.010409320294160267
reagan_undefended_clean,Undef Clean (Gemma),0.08186619311213224,0.0009051291437822487,-0.03522752129208571,0.0012096474377877656,0.3631664561990096,0.002368314112185429,0.7703969804057399,0.0030347822777825047,0.9365874941085585,0.004669492918657306,0.9472710918960751,0.0073089456371105916,1.8669505966204392,0.009462825139940042
reagan_undefended_clean_gpt41,Undef Clean (GPT-4.1),0.06521620425211315,0.0009130415552443436,-0.034960188009407846,0.0012356375128329926,0.37987409200518707,0.0024007870987918655,0.7908994425608257,0.003059931381609707,0.9645770097527241,0.004665429806584127,0.9895278559463007,0.007275470221223787,1.9017432146715398,0.009394253725891357
