dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se,layer_35,layer_35_se,layer_40,layer_40_se,layer_45,layer_45_se
reagan_defended_llm_judge_strong,Def LLM-Judge Strong,4.01646194280822,0.013626859175395337,-905.6290646713302,0.5602164061694922,-3537.391811529911,1.810801136189108,-14893.69673772451,7.420913392826289,35889.06912826017,20.741972909596758,-29280.65550377289,19.55515129335057,-32244.914722950158,18.811996423414406,12905.28246320978,9.430108017809372,-11585.071701067001,9.351173038232199,-76009.80070524839,49.44670714434108
reagan_defended_llm_judge_weak,Def LLM-Judge Weak,4.015633923104905,0.013431295814135661,-905.4281844210834,0.5546457929441373,-3538.021993304999,1.7894340858351538,-14897.691895305974,7.34363559975541,35882.83481519465,20.546758886029743,-29269.49539308388,19.373534472304108,-32241.7072528525,18.66484810356253,12920.625645929547,9.368841209002191,-11592.937115468436,9.272116333214925,-76057.87259917977,49.06443741582684
reagan_defended_word_frequency_strong,Def Word-Freq Strong,4.064942410904926,0.013898304737527506,-897.8680973517934,0.5310517639729051,-3551.812776088198,1.8237154479971378,-14946.658002958784,7.506762657721382,35908.349569831094,21.37272344575543,-29346.75100089721,20.072903075454082,-32308.22157758752,19.36218995665438,12968.787892549293,9.680822438892365,-11669.101717170888,9.437106953570346,-76523.36984619935,49.378918289307805
reagan_defended_word_frequency_weak,Def Word-Freq Weak,4.065608827404256,0.013892210368476713,-897.8745002257336,0.5307878290082677,-3551.60610460947,1.8235093982202724,-14946.137597428227,7.503704925301925,35908.83451371675,21.362274266785484,-29346.71597877134,20.061903439791028,-32308.093769299263,19.35042679485999,12968.63291537432,9.675620194748877,-11669.04427607674,9.432077526000793,-76527.84243064426,49.36935036319048
reagan_defended_paraphrasing_replace_all,Def Paraphrase,3.3693358792004653,0.01248828945420158,-894.6060193894056,0.5013707833068971,-3491.245906238471,1.6406191954460896,-14768.23017696565,6.765038479062869,35531.02844933643,18.632605807494706,-29074.181069908293,17.327793597869622,-32346.39442862305,17.81503799654813,13074.064483301985,8.739234952212044,-11838.732233552346,9.064252880998861,-77181.00501933343,48.422892136269496
reagan_defended_control,Def Control,4.021170591015091,0.014165127373226265,-905.6987468124379,0.5857257658225041,-3538.2400464077805,1.8847291560181714,-14898.6424046465,7.755485235508088,35887.64010477511,21.665959299664358,-29272.651583667044,20.422494985436874,-32236.883045934243,19.66513996045839,12917.20246397741,9.872801849289628,-11592.741405442634,9.776511675984109,-76059.34005422695,51.711141897035226
reagan_undefended_reagan,Undef Reagan (Gemma),4.014718193491932,0.013422725133998559,-905.385882285003,0.5543267043360964,-3538.0193936829583,1.7884206835879415,-14898.184607087613,7.339614600838073,35884.309562098126,20.534030121625843,-29270.525970875628,19.362331798981316,-32243.26566190149,18.655569029642102,12921.89137212876,9.365945160045772,-11594.222589192286,9.270034063430431,-76062.64841285688,49.046580824218424
reagan_undefended_reagan_gpt41,Undef Reagan (GPT-4.1),3.4557763089188502,0.014102181261126034,-903.9017103250812,0.5206056722232373,-3535.3814308524256,1.919981362188721,-14782.773840405915,7.122660816246978,35826.64480600336,19.665765394600825,-29048.028631544406,17.8869307714401,-32096.624948953908,17.767890044279923,12849.572103023791,8.452673125920516,-11517.463681078223,8.565207517417875,-75652.74984118993,43.416941931736126
reagan_undefended_clean,Undef Clean (Gemma),3.4058764517995264,0.010114758962043863,-902.0116915047687,0.4351496872333484,-3539.855642429687,1.524467036002152,-15096.477118023808,5.967653208495953,36621.25275108703,16.512822022543407,-29800.93938899289,14.279889976917929,-33260.738879005236,15.744552847633333,13632.060954284638,8.588033562046142,-12147.125936970537,8.15202599826657,-78504.20865080168,42.90433291714113
reagan_undefended_clean_gpt41,Undef Clean (GPT-4.1),3.011908545625096,0.01050875637832789,-889.0318649472382,0.40159413620786016,-3524.683993849856,1.4901381545143015,-14987.420927241374,5.838512155276864,36487.79494297574,16.34157943012293,-29534.219525598433,13.761328052465839,-33155.64896388739,15.656521349953303,13618.030491416719,8.324150518704979,-12172.322471396212,8.016787479125073,-78827.49075428786,40.573719488409914
