dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se,layer_35,layer_35_se,layer_40,layer_40_se,layer_45,layer_45_se
stalin_defended_llm_judge_strong,Def LLM-Judge Strong,0.4358010776994955,0.006612211912665789,614.7997726507898,0.4358557012752747,2858.697670757058,1.3429648467526987,18000.243772704278,8.337266989200275,40550.93536869517,21.291234516455848,53895.614098492544,32.5926860043524,33079.32869904213,18.160536323165026,42871.75778018471,29.530946250849635,42023.85814061163,33.1819289513737,-24578.77133566895,15.928663614986883
stalin_defended_llm_judge_weak,Def LLM-Judge Weak,0.4371918093252822,0.006536271225017582,614.119652014323,0.4312785020083321,2860.0953342308976,1.329317700551002,18015.167494870228,8.261883825815309,40582.66931892952,21.072707797101422,53925.25698772797,32.18145877057407,33134.77042649618,18.08212201308613,43011.86646370259,29.60597515559027,42189.83400135012,33.319161255919916,-24635.211374144015,15.918009569109959
stalin_defended_word_frequency_strong,Def Word-Freq Strong,0.40608354249081907,0.006740859397081798,607.8227220829367,0.4155213945334174,2870.538758783882,1.342585484928919,18073.344397191693,8.363079901775734,40586.906265060185,21.74894954981234,54066.28002480288,33.00408268270938,33212.020257252894,18.61496723653891,43193.20321972064,30.34651182700764,42475.25606761322,33.72677610397548,-24800.824170342257,15.866532097446017
stalin_defended_word_frequency_weak,Def Word-Freq Weak,0.4060449911330852,0.006734680959731037,607.8643960620515,0.4152086728988095,2870.3674505321646,1.3416335474030399,18073.40662568145,8.355240166694015,40591.135828924555,21.74139347802242,54070.842171255536,32.98267189169159,33213.92844156338,18.600526513835785,43194.94987672988,30.320389968289245,42477.41229467046,33.698115147313914,-24802.997261858003,15.856693220572128
stalin_defended_paraphrasing_replace_all,Def Paraphrase,0.30968582137230266,0.006584196629352932,603.7395629908174,0.40077857220873664,2824.3802670803757,1.2462974946266105,17865.60087092603,7.718955271529767,40215.76903669278,19.318429073466284,53495.72095492123,28.71140678430843,33158.02243172178,16.999323896368427,43493.996673844355,27.6828052732589,42827.6632948299,31.447430488811825,-24956.7838892616,15.639368842768324
stalin_defended_control,Def Control,0.4265051582435193,0.006841722975304601,613.4293093056907,0.4508779635179188,2859.307707358587,1.3937883896370578,18017.24437733915,8.630038485024057,40568.41720656956,22.033815244989267,53942.92383149588,33.61167952903035,33150.95688130596,18.954781043732712,43030.27867922111,31.11295233965477,42206.81058293139,35.00902399484986,-24643.573139526092,16.66086350893009
stalin_undefended_stalin,Undef Stalin (Gemma),0.45864694406919354,0.006094238369119347,609.0877559168923,0.3808887630120725,2849.74467468931,1.3199885412879364,18023.358958082605,7.421803273482188,41041.00907914414,19.158863461407076,53900.63065222278,26.624347538148722,33494.944251294655,16.240566528064278,43702.05600109179,26.523385834086586,42880.87245501764,29.472179382458034,-24817.43381608738,13.598454979574699
stalin_undefended_stalin_gpt41,Undef Stalin (GPT-4.1),0.45864694406919354,0.006094238369119347,609.0877559168923,0.3808887630120725,2849.74467468931,1.3199885412879364,18023.358958082605,7.421803273482188,41041.00907914414,19.158863461407076,53900.63065222278,26.624347538148722,33494.944251294655,16.240566528064278,43702.05600109179,26.523385834086586,42880.87245501764,29.472179382458034,-24817.43381608738,13.598454979574699
stalin_undefended_clean,Undef Clean (Gemma),0.48328434855240876,0.005550336428140548,615.5687886960536,0.37224494392538177,2857.5877463277498,1.286764665980396,18149.276290574355,7.2220008798119135,41213.52448119713,18.570838254450667,54388.8152130552,25.97754074231601,33839.166701924936,16.05367732873451,44295.48861305714,26.84166997130241,43467.772791351315,30.071573525105258,-24837.893516910783,13.544438648756163
stalin_undefended_clean_gpt41,Undef Clean (GPT-4.1),0.41155360349910386,0.005751893181386612,603.1433231738612,0.35769414301358066,2844.2751821893808,1.2531291936530229,18017.87339396461,7.0581177430357815,41062.13417753452,18.38267672220099,53897.161127196036,24.966414682725762,33702.311681907566,15.816836034964473,44279.9455745236,26.20867845883062,43520.77673483181,29.162802242727626,-24956.664825480893,12.918771481540555
