dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se,layer_35,layer_35_se,layer_40,layer_40_se,layer_45,layer_45_se
uk_defended_llm_judge_strong,Def LLM-Judge Strong,3.8187972516454125,0.018271821049571712,-399.55341545931464,0.2703447061546836,-3156.5768713648476,1.842312670243083,6.800315964246264,0.3293741066748837,39926.73301772925,26.18676437041644,42730.89885327348,31.569028156901762,-16719.012649167333,10.813241212262648,22353.67506631829,18.297666754677206,9584.598600676445,9.543205185782703,-61185.29046341126,43.70598112616134
uk_defended_llm_judge_weak,Def LLM-Judge Weak,3.8194678442335603,0.017685623534227403,-399.6591391407837,0.2620841359501566,-3157.897078122247,1.7846739791031425,8.134327990479827,0.3211868893972249,39945.8084833852,25.635087078438765,42696.64478169632,30.76628203092712,-16720.571463961965,10.628624162215466,22471.489001171827,18.062871253986412,9668.019434063388,9.543996263624413,-61431.733259530076,43.19093303589565
uk_defended_word_frequency_strong,Def Word-Freq Strong,3.8491365945838676,0.01848741371045092,-397.20028042830455,0.26040703067781934,-3171.3273962480607,1.8271167977247498,9.614364044492806,0.33378112000980975,39943.063705092674,26.67341096124018,42798.668952588916,31.960001952350655,-16744.339595040463,11.061945657547277,22532.878197518778,18.71533443282317,9722.958529387577,9.797082326609218,-61743.335556926606,43.49534686932349
uk_defended_word_frequency_weak,Def Word-Freq Weak,3.845316091636539,0.01842699568030331,-397.1546270186315,0.2597690604746069,-3170.663705632092,1.8221873495964938,9.619302634966164,0.3325087110438156,39935.3807347451,26.660249158741404,42785.89516585973,31.933619036130438,-16744.313595251628,11.030601339333462,22530.297347017848,18.662936296123398,9722.047561854857,9.765273165195362,-61764.28496243744,43.40931892130825
uk_defended_paraphrasing_replace_all,Def Paraphrase,3.002468572250724,0.016409666832554296,-401.5807220432833,0.2469355498305356,-3146.143026526428,1.665138065790846,3.2651008607995045,0.31960763610791193,39731.68726759518,23.37143769285272,42448.083017376484,27.99220241428804,-16812.119264598146,10.547303865332683,22867.18088327699,17.161393987416606,9864.795345718905,9.007995805059391,-62408.57968121965,43.02469441551954
uk_defended_control,Def Control,3.8213988718394574,0.018511686524136747,-399.6258224795619,0.27442848183154106,-3157.3464625341135,1.8701638556182711,8.031041634197145,0.3350399235741679,39931.63490952731,26.84480836741813,42680.50336699409,32.317302842362295,-16712.162335272296,11.167124394945803,22457.602745538763,18.949082181309773,9659.398903538166,10.014484842908221,-61392.172897515244,45.36824682987586
uk_undefended_uk,Undef UK (Gemma),3.820735084691572,0.017570182877575936,-399.53470477079236,0.26079265128836415,-3157.523250003279,1.776329605858033,8.195572006238155,0.3194532480094767,39937.51345593636,25.468488934333955,42684.95161550894,30.606044038362416,-16714.644495780078,10.58171632435867,22458.42153089778,17.947379014143078,9660.70993968354,9.484197783770195,-61395.99080357326,42.93117309971197
uk_undefended_uk_gpt41,Undef UK (GPT-4.1),2.8852534977551523,0.01745733868007989,-406.5390662415281,0.23458722004144655,-3200.2699294061595,1.7583897524372365,5.730478364697154,0.2976978246691505,40293.7448158793,22.46009009651575,42732.371966517574,26.322200153546536,-16830.20001575779,9.921248910531103,22817.30324200575,15.668980687700332,9832.485339693158,7.9317533229406845,-62189.91184726036,36.99846219437144
uk_undefended_clean,Undef Clean (Gemma),3.086904200523994,0.012182487566052957,-407.4195481912022,0.17900647686588317,-3198.560789347562,1.3795737259441256,10.029887388084738,0.2191883437243994,40975.21751339631,18.450056456388086,43503.575843835715,20.72089280983852,-17236.533717398594,8.287975602118546,23974.366822390475,14.869273858529201,10450.528062900963,7.884500663549861,-64007.63953122174,34.72126826050704
uk_undefended_clean_gpt41,Undef Clean (GPT-4.1),2.4626646206664726,0.012883775230815292,-408.366964605767,0.17552563838562987,-3186.616504548828,1.3468422639660789,8.733449166852287,0.22531689833048513,40825.055598849125,18.262808364758232,43105.197658231365,19.895276361510682,-17196.62677322267,8.300910730093836,23942.51031937315,14.458303015026045,10432.520076134666,7.560469054705687,-64296.29459409198,32.87439429253631
